10:16:33.943 -> SENSOR SQUAD: time ax ay az mx my mz gx gy gz temp pressure humidity co2 voc geigercount
10:17:50.889 -> 76942, -55, -53, -68, 13, 28, 42, 86, -86, 84, 35.93, 98508.59, 32, 400, 0, 3
10:17:52.686 -> 78729, -57, -55, -55, 20, 33, 31, 88, -86, 88, 35.90, 98524.54, 32, 400, 0, 3
10:17:54.436 -> 80517, -52, -61, -55, 15, 42, 16, 88, -85, 87, 36.05, 98552.63, 32, 400, 0, 1
10:17:56.218 -> 82302, -53, -58, -63, -4, 29, 11, 88, -85, 85, 36.15, 98554.25, 32, 400, 0, 0
10:17:58.030 -> 84090, -59, -56, -72, 2, 29, 25, 88, -84, 90, 36.24, 98509.26, 32, 400, 0, 2
10:17:59.827 -> 85875, -53, -58, -61, 16, 47, 20, 90, -83, 88, 36.12, 98405.42, 32, 400, 0, 1
10:18:01.609 -> 87661, -56, -53, -61, 18, 38, 15, 93, -85, 89, 35.98, 98431.78, 32, 400, 0, 0
10:18:03.374 -> 89449, -46, -57, -63, 25, 31, 3, 91, -86, 88, 35.94, 98415.85, 32, 400, 0, 1
10:18:05.156 -> 91236, -54, -76, -78, 10, 40, -7, 93, -81, 82, 35.83, 98393.17, 31, 400, 0, 4
10:18:06.937 -> 93023, -82, -94, -77, 9, 54, -3, 88, -83, 84, 35.72, 98387.64, 31, 400, 0, 0
